l.groupID,l.artifact,l.version,clients
org.slf4j,slf4j-api,1.6.1,16469
org.slf4j,slf4j-api,1.4.3,420
org.slf4j,slf4j-api,1.5.10,794
org.slf4j,slf4j-api,1.5.6,2719
org.slf4j,slf4j-api,1.5.2,1774
org.slf4j,slf4j-api,1.2,46
org.slf4j,slf4j-api,1.3.1,116
org.slf4j,slf4j-api,1.6.2,2692
org.slf4j,slf4j-api,1.5.8,2338
org.slf4j,slf4j-api,1.5.11,2272
org.slf4j,slf4j-api,1.6.0,1351
org.slf4j,slf4j-api,1.5.0,226
org.slf4j,slf4j-api,1.5.5,4049
org.slf4j,slf4j-api,1.3.0,92
org.slf4j,slf4j-api,1.4.2,580
org.slf4j,slf4j-api,1.8.0-beta2,1786
org.slf4j,slf4j-api,1.5.3,116
org.slf4j,slf4j-api,1.4.0,41
org.slf4j,slf4j-api,1.6.6,5096
org.slf4j,slf4j-api,1.7.21,34435
org.slf4j,slf4j-api,1.7.2,6874
org.slf4j,slf4j-api,1.6.5,350
org.slf4j,slf4j-api,1.6.4,10416
org.slf4j,slf4j-api,1.7.1,703
org.slf4j,slf4j-api,1.7.0,503
org.slf4j,slf4j-api,1.7.5,16802
org.slf4j,slf4j-api,1.7.4,1196
org.slf4j,slf4j-api,1.7.3,146
org.slf4j,slf4j-api,1.7.14,795
org.slf4j,slf4j-api,+,6
org.slf4j,slf4j-api,1.7.22.jbossorg-1,75
org.slf4j,slf4j-api,1.8.0-beta0,42
org.slf4j,slf4j-api,1.8.0-beta1,43
org.slf4j,slf4j-api,1.8.0-beta1-SNAPSHOT,1
org.slf4j,slf4j-api,1.4.1,17
org.slf4j,slf4j-api,1.7.7,23255
org.slf4j,slf4j-api,1.1.0-RC1,13
org.slf4j,slf4j-api,1.7.25,47152
org.slf4j,slf4j-api,1.4.0-SNAPSHOT,1
org.slf4j,slf4j-api,1.1.0,7
org.slf4j,slf4j-api,1.1.0-beta0,6
org.slf4j,slf4j-api,1.5.9.RC1,38
org.slf4j,slf4j-api,1.6.3,780
org.slf4j,slf4j-api,1.5.0-M0,15
org.slf4j,slf4j-api,1.6.0-alpha2,10
org.slf4j,slf4j-api,1.6.0-RC0,10
org.slf4j,slf4j-api,1.5.9-RC0,10
org.slf4j,slf4j-api,1.5.7,10
org.slf4j,slf4j-api,1.5.4,9
org.slf4j,slf4j-api,1.7.10,9143
org.slf4j,slf4j-api,1.7.12,26076
org.slf4j,slf4j-api,1.7.6,9354
org.slf4j,slf4j-api,1.7.9,1193
org.slf4j,slf4j-api,1.7.8,168
org.slf4j,slf4j-api,1.7.7.jbossorg-1,231
org.slf4j,slf4j-api,1.7.20,760
org.slf4j,slf4j-api,1.7.2.jbossorg-1,21
org.slf4j,slf4j-api,1.7.11,209
org.slf4j,slf4j-api,1.7.16,947
org.slf4j,slf4j-api,LATEST,12
org.slf4j,slf4j-api,1.7.13,4467
org.slf4j,slf4j-api,1.7.24,4077
org.slf4j,slf4j-api,1.7.23,587
org.slf4j,slf4j-api,1.8.0-alpha2,117
org.slf4j,slf4j-api,1.7.22,5652
org.slf4j,slf4j-api,1.7.15,378
org.slf4j,slf4j-api,1.7.19,631
org.slf4j,slf4j-api,1.7.18,1055
org.slf4j,slf4j-api,1.7.+,2
org.slf4j,slf4j-api,1.8.0-alpha0,10
org.slf4j,slf4j-api,1.8.0-alpha1,13
org.slf4j,slf4j-api,RELEASE,22
org.slf4j,slf4j-api,1.7.22.redhat-2,13
org.slf4j,slf4j-api,latest.integration,1